,CVCL_1805,CVCL_1859,CVCL_1170,CVCL_2016,CVCL_2017,CVCL_2889,CVCL_2022,CVCL_1240,CVCL_1280,CVCL_0337,CVCL_0065,CVCL_1324,CVCL_2541,CVCL_2976,CVCL_4965,CVCL_2098,CVCL_1380,CVCL_H631,CVCL_H637,CVCL_0013,CVCL_2127,CVCL_3032,CVCL_2633,CVCL_2142,CVCL_8461,CVCL_0466,CVCL_8797,CVCL_1913,CVCL_5363,CVCL_RL84,CVCL_A673,CVCL_0538,CVCL_2209,CVCL_2210,CVCL_9973,CVCL_L177,CVCL_A1EY,CVCL_1797
AATF,8.86863533330914,8.99310062539956,8.90915565573566,8.57412488666329,8.42022751698968,8.91709157055819,8.84554009751753,9.1360309106278,8.74158310468451,8.72523476468933,8.11044987929666,9.25840353766572,8.89624592141289,8.95095613414521,8.92622014130084,9.04667526805428,8.73087946639196,9.12721710589982,8.68286829929706,9.00337632650699,9.31619391365735,8.67661446552924,9.05723870069308,9.29548238757596,9.16491669631013,8.5887488737542,8.81148374953618,8.76516852828396,9.64660249153785,9.75823649490103,8.91426778509864,8.81507791360369,8.95179000612045,7.91307612962871,8.94853197233591,8.96257765752523,8.80144476938692,8.73362691776814
AATK,3.09747420008348,2.9756587341146,2.3100039432493,4.07084095722775,3.34877638182262,1.62269557309566,2.35459087087741,2.36862941987599,1.70675101637746,3.39640388391602,2.31223101735572,2.48692177713679,3.26676526998627,2.07570916873314,3.37022058611696,2.46015278085671,2.68819946297768,2.17826363851989,2.11773135658041,2.22362183876474,1.75500400603062,2.17438288409373,4.77785581292048,1.8131008999782,1.46129744793996,1.84292276260637,4.66591794149859,3.23537794305833,2.91715789932373,2.68160013812164,1.77119686106703,2.22537873361952,2.04526578035153,2.44873295040325,0.626069935904633,1.57577422176506,1.70109179578604,1.70961635094569
AB015752.3,0,0,0.645765404152348,0.627446183642535,1.56625331623073,1.39872854750906,0,0,1.31011940475448,1.16929868012005,0.530489144660542,0.65163944354969,1.05383099448878,0.626619794247016,0.6946628542866,1.14464309042199,0.566108154388983,0,1.12791757106071,0,0.78657728853081,1.46821216097515,1.594995735331,1.11572171433856,1.46129744793996,1.2967755433144,3.044935939977,0.567016473669882,1.50357353951428,1.245382560777,1.23516388975679,1.04200180881684,1.35707294425892,1.1835007973816,0,2.00023668969327,1.30507244360645,1.53071339086625
AB019438.66,1.29273732774127,0.57385985435202,0,0,0,2.21194452000524,3.54966679318039,0,0,0,2.37923955916889,0,2.02024461712358,0,0.6946628542866,0,2.38859597181076,0,0,1.6332265845232,0.78657728853081,0,0,0,0,0,0,4.51957863519308,1.20351934421593,0,0,0,0,0,0,0,0,0
AB019440.50,2.59022767168367,1.58422829748241,0,0,0,0,5.95312089506682,0,0,0.553834112542915,4.72083900742115,0,0,0.626619794247016,5.19596910179666,0,4.48368976632681,0,0,4.48132692566556,0,1.46821216097515,0,0,0,0,0,3.6477178934985,0,0,0,0,0,0,3.55362060724394,3.45555503610575,0.639738712677953,0
AB019441.29,1.83824358150726,2.07643069427709,2.9522467747471,1.96146727417253,2.03211111780853,1.96010809358055,1.95543256294292,1.91833990385696,1.98998690571492,2.12812605868971,1.88678298438978,1.87366243854063,1.88795702522962,1.67828705171169,2.40064933677228,3.2008959466633,1.71710625447755,3.72472804267275,3.08612891209732,2.46069595822542,2.35773043175091,2.58415175212433,2.06363465542118,2.10183818119267,2.86549542296021,2.37435759115801,1.00791619762879,1.84703564833647,1.92125956981328,2.13094124440157,2.82453601246038,2.31987782724703,3.00726735501331,1.39154292096561,2.17840564858662,2.62333512658625,2.46400854865837,2.54708189851955
ABALON,5.57075261822509,6.13429279093009,4.816283820294,4.37643535994105,4.52100728876764,4.93640594062673,6.51130070471642,5.64462590414127,4.31723267833014,7.54079902122685,5.88604484565586,4.05972546345457,5.67528139275937,4.52703383235808,5.85809230972236,4.07440780113193,6.07708842587565,3.14362273058304,4.03183497089665,5.9554292597391,4.27048309809408,4.59528495193521,4.61682060936988,4.3018712170499,4.82535895008066,4.45480644069949,4.9242130238136,6.61020502724655,5.2215116392517,3.6725235923522,4.53988257488456,5.3391816558678,3.81184207220164,4.53412529234795,5.51403277454178,5.44823258491658,4.69514100522269,5.79251927525114
ABAT,5.63253372800193,5.91755001110378,2.47564365182117,8.03984593762271,8.59272386445591,7.1601494349358,7.13706425894142,4.65019446260186,4.26790595934089,4.82482911785614,6.43018828583249,4.35887879576846,6.01214695356111,4.52703383235808,7.04793153393528,3.89548093194594,6.16245112843017,3.25029842199418,5.40941848783238,6.30058166475594,6.49030956448487,7.10163666857527,5.45005159430742,3.24342164378,6.60295136824754,8.0418907152934,5.52761608869969,6.22825159654277,5.04278143490524,5.61910751701264,5.93117586423673,4.02618325830151,2.16249681506955,6.37387991798354,5.83010938996055,5.70833159605908,4.60074436586807,7.60994159198151
ABBA01000934.1,2.5218725785655,4.5678625894738,0,3.23628364497008,3.66065303506613,0,0.624177926722566,0,0,0,0,0,0,6.98679911105738,1.10063267689608,0,0,7.34783762414084,6.99057697176846,0,6.14716063315933,0,3.78898241650999,8.36791309133567,6.31721673482771,7.08152477146999,0,1.39920983846733,1.92125956981328,0,0,0,0,0,0,0,2.20429604421199,0.644675239632673
ABC10-43608400O15.1,0.631758237536994,0.936176096071883,1.53251059325296,1.50213918571381,1.0627558788647,1.96010809358055,1.67401776409238,0,3.12028921164782,1.37615438596968,0.875271664239995,1.54217254145777,1.05383099448878,1.0088878409552,1.38856701110438,1.43793284219937,1.18912181515669,1.59238932779768,4.15381560423522,0.97386043684133,1.52335770533569,2.87397877852643,2.87329958928784,1.40552202806189,2.65649017991726,1.51365633018377,1.00791619762879,0.926636424053398,1.92125956981328,1.54998414720504,2.11828072120661,1.54111035031141,3.09807408589449,0.56261833729206,0.626069935904633,3.17834123861043,1.85252721895941,3.48700451767534
